Philadelphia,United States of America 
Gainesville,United States of America 
Philadelphia,United States of America 
Philadelphia,United States of America 
Philadelphia,United States of America 
Woods Hole,United States of America 
St. Petersburg,United States of America 
Gainesville,United States of America 
Santa Cruz,United States of America 
Kearneysville,United States of America 
Kearneysville,United States of America 
Gainesville,United States of America 
Gainesville,United States of America 
Woods Hole,United States of America 
Mechanicsville,United States of America 
Great Falls,United States of America 
New Orleans,United States of America 
New Hampshire,United States of America 
Den Burg,Netherlands
Den Burg,Netherlands
Conway,United States of America 
Athen,United States of America 
Athen,United States of America 
Athen,United States of America 
Washington,United States of America 
St Teresa,United States of America 
Claremont,United States of America 
Philadelphia,United States of America 
